Data Type,Book,Chapter,Number of Verses or Mishnahs,,Books,,
Bible,Psalms,105,45,,,,
Bible,Psalms,106,48,,,,
Bible,Psalms,107,43,,,,
Bible,Psalms,108,14,,,,
Bible,Psalms,109,31,,,,
Bible,Psalms,110,7,,,,
Bible,Psalms,111,10,,,,
Bible,Psalms,112,10,,,,
Bible,Psalms,113,9,,,,
Bible,Psalms,114,8,,,,
Bible,Psalms,115,18,,,,
Bible,Psalms,116,19,,,,
Bible,Psalms,117,2,,,,
Bible,Psalms,118,29,,,,
Bible,Psalms,119,176,,,,
Bible,Psalms,120,7,,,,
Bible,Psalms,121,8,,,,
Bible,Psalms,122,9,,,,
Bible,Psalms,123,4,,,,
Bible,Psalms,124,8,,,,
Bible,Psalms,125,5,,,,
Bible,Psalms,126,6,,,,
Bible,Psalms,127,5,,,,
Bible,Psalms,128,6,,,,
Bible,Psalms,129,8,,,,
Bible,Psalms,130,8,,,,
Bible,Psalms,131,3,,,,
Bible,Psalms,132,18,,,,
Bible,Psalms,133,3,,,,
Bible,Psalms,134,3,,,,
Bible,Psalms,135,21,,,,
Bible,Psalms,136,26,,,,
Bible,Psalms,137,9,,,,
Bible,Psalms,138,8,,,,
Bible,Psalms,139,24,,,,
Bible,Psalms,140,14,,,,
Bible,Psalms,141,10,,,,
Bible,Psalms,142,8,,,,
Bible,Psalms,143,12,,,,
Bible,Psalms,144,15,,,,
Bible,Psalms,145,21,,,,
Bible,Psalms,146,10,,,,
Bible,Psalms,147,20,,,,
Bible,Psalms,148,14,,,,
Bible,Psalms,149,9,,,,
Bible,Psalms,150,6,,,,
Bible,Proverbs,1,33,,,,
Bible,Proverbs,2,22,,,,
Bible,Proverbs,3,35,,,,
Bible,Proverbs,4,27,,,,
Bible,Proverbs,5,23,,,,
Bible,Proverbs,6,35,,,,
Bible,Proverbs,7,27,,,,
Bible,Proverbs,8,36,,,,
Bible,Proverbs,9,18,,,,
Bible,Proverbs,10,32,,,,
Bible,Proverbs,11,31,,,,
Bible,Proverbs,12,28,,,,
Bible,Proverbs,13,25,,,,
